algorithm,dataset,damping,affinity,preference,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score,priority_score,n_clusters,linkage,levels,threshold,branching_factor,maximum_clusters,amount_intervals,density_threshold,number_cluster,number_represent_points,compression,eps,min_samples,dip_threshold,significance,split_viewers_threshold,pval_strategy,n_boots,use_principal_components,use_log,n_clusters_init,n_split_trials,min_cluster_size,metric,leaf_size,init,max_iter,n_init,k,var,bandwidth,bin_seeding,xi,n_projections,n_samples,amount_clusters,epouch,similarity_matrix,n_neighbors,random_state,rows,cols,radius,threshold1,threshold2
optics,2d10c,,,,0.9992390426245816,0.9988618650279208,0.9996655518394648,0.8361204159325173,47441.59231221848,0.2290131998801557,0.8136609111257004,0.964374960185519,,,,,,,,,,,,,5.0,,,,,,,,,,0.01,,,,,,,,,,0.2,,,,,,,,,,,,
optics,2d20c,,,,0.818600898766599,0.9420442368279824,0.8879367172050099,0.5065982865524528,846.028192162836,2.00195879727362,0.3331158312060113,0.7985158029416956,,,,,,,,,,,,,5.0,,,,,,,,,,0.01,,,,,,,,,,0.2,,,,,,,,,,,,
optics,2d4c,,,,0.9958742561180184,0.9929674963585574,0.9988412514484356,0.5365284775095149,930.40003823367,0.5692194084566726,0.6372595155342236,0.9139154501921901,,,,,,,,,,,,,5.0,,,,,,,,,,0.025,,,,,,,,,,0.2,,,,,,,,,,,,
optics,3spiral,,,,0.9951076759216232,0.9917369356560768,1.0,-0.076959217069979,4.766862574772044,4.584844604320731,0.1790560115542601,0.7856168063130865,,,,,,,,,,,,,5.0,,,,,,,,,,0.1,,,,,,,,,,0.1,,,,,,,,,,,,
optics,aggregation,,,,0.9840459848918433,0.9773727748392296,0.9923857868020304,0.4748053152706418,1121.2461591436286,0.5479362023448507,0.646021456494897,0.89843081004311,,,,,,,,,,,,,10.0,,,,,,,,,,0.025,,,,,,,,,,0.1,,,,,,,,,,,,
optics,compound,,,,0.918559335294843,0.9176637163464256,0.8646616541353384,0.4471344618350188,340.0290341925071,1.5567492482679357,0.3911216560159147,0.8092502330281696,,,,,,,,,,,,,5.0,,,,,,,,,,0.1,,,,,,,,,,0.1,,,,,,,,,,,,
optics,D1,,,,0.8365965888869421,0.8465384769227104,0.94,0.5629682498605113,1658.5255923182797,0.6558275995236167,0.6039276071299338,0.8156301054419403,,,,,,,,,,,,,15.0,,,,,,,,,,0.2,,,,,,,,,,0.025,,,,,,,,,,,,
optics,D2,,,,0.9492713827762806,0.9248087362252276,0.983,0.4665080485564574,1912.3335180462109,0.928355037342807,0.5185767043075006,0.8590325109868482,,,,,,,,,,,,,15.0,,,,,,,,,,0.01,,,,,,,,,,0.1,,,,,,,,,,,,
optics,D3,,,,0.958651107148614,0.9371347862170366,0.986,0.6220690747891838,3092.4257968073057,0.590147148861987,0.6288726176792286,0.8924299372565364,,,,,,,,,,,,,10.0,,,,,,,,,,0.025,,,,,,,,,,0.1,,,,,,,,,,,,
optics,D4,,,,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.4981917745612239,0.889175327900038,,,,,,,,,,,,,5.0,,,,,,,,,,0.1,,,,,,,,,,0.05,,,,,,,,,,,,
