algorithm,dataset,n_clusters,init,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score,priority_score,pretrain_epochs,clustering_epochs,damping,convergence_iter,affinity,preference,linkage,input_dim,levels,threshold,branching_factor,maximum_clusters,amount_intervals,density_threshold,number_cluster,number_represent_points,compression,eps,min_samples,ratio,max_n_leaf_nodes,n_clusters_init,dip_merge_threshold,step_size,dip_threshold,n_starting_vectors,ambiguous_triangle_strategy,significance,split_viewers_threshold,pval_strategy,outliers,consider_duplicates,min_n_clusters,max_n_clusters,n_boots,use_principal_components,use_log,n_split_trials,min_cluster_size,metric,leaf_size,pn,max_iter,n_init,k,t,var,bandwidth,bin_seeding,xi,n_projections,n_samples,number_clusters,add_tails,max_cluster_size_diff_factor,amount_clusters,epouch,similarity_matrix,n_neighbors,rows,cols,radius,threshold1,threshold2
acedec,wdbc,2.0,sgd,10.0,{'lr': 0.01},{'lr': 0.0001},42.0,0.798233198252776,0.7375329936367749,0.9472759226713532,0.3781160870894032,350.604019772599,1.1349002330157725,0.4684059632085918,0.7395008093724482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acedec,wine,3.0,subkmeans,10.0,{'lr': 0.01},{'lr': 0.0001},42.0,0.6506447988791744,0.6524828940383386,0.8707865168539326,0.2649140632483351,75.55147881292099,1.4000782599645991,0.4166530803102853,0.6461736739165093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acedec,yeast,10.0,acedec,10.0,{'lr': 0.01},{'lr': 0.001},42.0,0.1375813833825125,0.2651503544063559,0.5154986522911051,0.1469240855686396,250.15648302534856,1.4746233297674842,0.4041019043063657,0.32644466227568414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aec,2d10c,9.0,,2.0,{'lr': 0.0001},{'lr': 0.001},42.0,0.7836448406874245,0.8958059837130379,0.8688963210702341,0.5787482309797528,4567.368763684793,0.7434104505415433,0.5735883937654366,0.805958541901681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aec,2d20c,20.0,,2.0,{'lr': 0.0001},{'lr': 0.0001},42.0,0.4942146603695856,0.704965712489881,0.5939353988134476,0.0808281646422994,174.70058796421645,5.070924112350131,0.1647195684699289,0.5437024250504077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aec,2d4c,4.0,,5.0,{'lr': 0.01},{'lr': 0.001},42.0,0.8434817467483998,0.8336422075258982,0.8968713789107764,0.4564044194683888,455.4281203591692,0.918569022042951,0.521221800472505,0.7791519468980768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aec,3spiral,3.0,,5.0,{'lr': 0.0001},{'lr': 1e-05},42.0,0.05446391509528,0.0909182995585798,0.4519230769230769,0.236327232307978,112.04235707588968,1.5743326954950396,0.3884501804098408,0.23806983939242995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aec,aggregation,7.0,,5.0,{'lr': 0.0001},{'lr': 0.001},42.0,0.4864709828468216,0.6668473420819456,0.7715736040609137,0.2513402970384889,404.4165675852976,1.445660564608998,0.4088874860522093,0.5891756361937913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aec,compound,6.0,,2.0,{'lr': 0.0001},{'lr': 1e-05},42.0,0.4536881455312462,0.6089867745947787,0.7568922305764411,0.3256230152097435,409.9433376454904,1.0106313065391646,0.4973562267471443,0.5767896232911404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aec,D1,3.0,,2.0,,,,0.9850751804194254,0.973237329891025,0.995,0.6512852570157142,3026.428686056026,0.4900316473760922,0.6711266849673794,0.9192300224730323,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
