threshold1,threshold2,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
0.1,0.005,0.4987394965660574,0.7534102066192796,0.9530456852791879,0.1810848262821093,593.7815527156233,1.284199096443662,0.43779020907456356
0.1,0.01,0.4987394965660574,0.7534102066192796,0.9530456852791879,0.1810848262821093,593.7815527156233,1.284199096443662,0.43779020907456356
0.1,0.05,0.4987394965660574,0.7534102066192796,0.9530456852791879,0.1810848262821093,593.7815527156233,1.284199096443662,0.43779020907456356
0.1,0.075,0.4987394965660574,0.7534102066192796,0.9530456852791879,0.1810848262821093,593.7815527156233,1.284199096443662,0.43779020907456356
0.1,0.1,0.4987394965660574,0.7534102066192796,0.9530456852791879,0.1810848262821093,593.7815527156233,1.284199096443662,0.43779020907456356
0.1,0.15,0.6375020253379344,0.7992669411305022,0.8286802030456852,-0.09365624072832443,269.217690023923,1.0427015823505659,0.4895477678385531
0.1,0.2,0.6402383749195385,0.7931208127741681,0.833756345177665,-0.15982055152884933,230.17770595592026,1.1325532815302977,0.46892146079576996
0.1,0.3,0.7129757545820667,0.8275916064327898,0.8413705583756346,0.061375862302368,364.57233831673256,1.2834063170984968,0.43794220612943324
0.1,0.5,0.6576568290849573,0.8126941503455752,0.9111675126903553,0.13096832956290796,758.4229676459498,1.3133203958300543,0.4322790746161147
0.1,0.75,0.7189745377020489,0.8287921048818173,0.8274111675126904,-0.0358370325912823,306.1903933179019,1.2620213743975033,0.44208247159749026
0.1,1.0,0.8181404744264998,0.8830482247319754,0.9530456852791879,-0.006587235589843567,508.59422478537005,1.1896998804704844,0.4566835888875957
0.2,0.001,0.43218859411207083,0.6963035426628789,0.6116751269035533,0.04852201936048304,249.23525303195552,0.8955737678050149,0.5275447555691557
0.2,0.005,0.43218859411207083,0.6963035426628789,0.6116751269035533,0.04852201936048304,249.23525303195552,0.8955737678050149,0.5275447555691557
0.2,0.01,0.43218859411207083,0.6963035426628789,0.6116751269035533,0.04852201936048304,249.23525303195552,0.8955737678050149,0.5275447555691557
0.2,0.05,0.43218859411207083,0.6963035426628789,0.6116751269035533,0.04852201936048304,249.23525303195552,0.8955737678050149,0.5275447555691557
0.2,0.075,0.43218859411207083,0.6963035426628789,0.6116751269035533,0.04852201936048304,249.23525303195552,0.8955737678050149,0.5275447555691557
0.2,0.1,0.43218859411207083,0.6963035426628789,0.6116751269035533,0.04852201936048304,249.23525303195552,0.8955737678050149,0.5275447555691557
0.2,0.15,0.43218859411207083,0.6963035426628789,0.6116751269035533,0.04852201936048304,249.23525303195552,0.8955737678050149,0.5275447555691557
0.2,0.2,0.43218859411207083,0.6963035426628789,0.6116751269035533,0.04852201936048304,249.23525303195552,0.8955737678050149,0.5275447555691557
0.2,0.3,0.11531086206252997,0.3709957492017658,0.4517766497461929,-0.30917556700782256,28.57269305894448,1.0897192478843158,0.4785331814368964
0.2,0.5,0.11531086206252997,0.3709957492017658,0.4517766497461929,-0.30917556700782256,28.572693058944477,1.0897192478843158,0.4785331814368964
0.2,0.75,0.11531086206252997,0.3709957492017658,0.4517766497461929,-0.30917556700782256,28.572693058944477,1.0897192478843158,0.4785331814368964
0.2,1.0,0.11531086206252997,0.3709957492017658,0.4517766497461929,-0.30917556700782256,28.57269305894448,1.0897192478843158,0.4785331814368964
0.3,0.001,0.11848264941820964,0.3723876146290004,0.4467005076142132,-0.1110080020786501,48.948677543618466,1.1956808746911423,0.45543959121138955
0.3,0.005,0.11848264941820964,0.3723876146290004,0.4467005076142132,-0.1110080020786501,48.948677543618466,1.1956808746911423,0.45543959121138955
0.3,0.01,0.11848264941820964,0.3723876146290004,0.4467005076142132,-0.1110080020786501,48.948677543618466,1.1956808746911423,0.45543959121138955
0.3,0.05,0.11848264941820964,0.3723876146290004,0.4467005076142132,-0.1110080020786501,48.948677543618466,1.1956808746911423,0.45543959121138955
0.3,0.075,0.11848264941820964,0.3723876146290004,0.4467005076142132,-0.1110080020786501,48.948677543618466,1.1956808746911423,0.45543959121138955
0.3,0.1,0.11848264941820964,0.3723876146290004,0.4467005076142132,-0.1110080020786501,48.948677543618466,1.1956808746911423,0.45543959121138955
0.3,0.15,0.11848264941820964,0.3723876146290004,0.4467005076142132,-0.1110080020786501,48.948677543618466,1.1956808746911423,0.45543959121138955
0.3,0.2,0.11848264941820964,0.3723876146290004,0.4467005076142132,-0.1110080020786501,48.948677543618466,1.1956808746911423,0.45543959121138955
0.3,0.3,0.11848264941820964,0.3723876146290004,0.4467005076142132,-0.1110080020786501,48.948677543618466,1.1956808746911423,0.45543959121138955
0.3,0.5,0.11848264941820964,0.3723876146290004,0.4467005076142132,-0.1110080020786501,48.948677543618466,1.1956808746911423,0.45543959121138955
0.3,0.75,0.11848264941820964,0.3723876146290004,0.4467005076142132,-0.1110080020786501,48.948677543618466,1.1956808746911423,0.45543959121138955
0.3,1.0,0.11848264941820964,0.3723876146290004,0.4467005076142132,-0.1110080020786501,48.948677543618466,1.1956808746911423,0.45543959121138955
0.5,0.001,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
0.5,0.005,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
0.5,0.01,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
0.5,0.05,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
0.5,0.075,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
0.5,0.1,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
