significance,split_viewers_threshold,pval_strategy,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
0.005,0.005,bootstrap,0.34268803664498326,0.5409924536465726,0.995,0.4985754141433181,1539.4098044502316,0.6848581007165575,0.5935217924730323
0.005,0.01,table,0.3436021907047951,0.5412652431718586,0.995,0.49878163412114657,1539.4024322818748,0.6842301693064444,0.5937430751592544
0.005,0.01,function,0.34268803664498326,0.5409924536465726,0.995,0.4985754141433181,1539.4098044502314,0.6848581007165575,0.5935217924730323
0.005,0.01,bootstrap,0.3407339809900179,0.5359180590621793,0.993,0.4975705394377292,1538.7041532223327,0.6814176624225684,0.5947362290456797
0.005,0.05,table,0.3436021907047951,0.5412652431718586,0.995,0.49878163412114657,1539.402432281875,0.6842301693064444,0.5937430751592544
0.005,0.05,function,0.3436021907047951,0.5412652431718586,0.995,0.49878163412114657,1539.402432281875,0.6842301693064444,0.5937430751592544
0.005,0.05,bootstrap,0.34162956356428253,0.5406655832984018,0.995,0.49836188247460617,1539.523974277186,0.6863683919663123,0.5929902414940286
0.005,0.1,table,0.29904818768746705,0.5105574677536588,0.993,0.4934764459861927,1602.0441933140341,0.6772445958590607,0.5962159618632215
0.005,0.1,function,0.3436021907047951,0.5412652431718586,0.995,0.49878163412114657,1539.402432281875,0.6842301693064444,0.5937430751592544
0.005,0.1,bootstrap,0.34268803664498326,0.5409924536465726,0.995,0.4985754141433181,1539.4098044502316,0.6848581007165575,0.5935217924730323
0.01,0.005,table,0.3436021907047951,0.5412652431718586,0.995,0.49878163412114657,1539.402432281875,0.6842301693064444,0.5937430751592544
0.01,0.005,function,0.29904818768746705,0.5105574677536588,0.993,0.4934764459861927,1602.0441933140341,0.6772445958590608,0.5962159618632215
0.01,0.005,bootstrap,0.34268803664498326,0.5409924536465726,0.995,0.4985754141433181,1539.4098044502314,0.6848581007165575,0.5935217924730323
0.01,0.01,table,0.3419743696863159,0.5407718165356972,0.995,0.4984408600279043,1539.4959551471097,0.6858993745806129,0.5931552114424158
0.01,0.01,function,0.3436021907047951,0.5412652431718586,0.995,0.49878163412114657,1539.4024322818748,0.6842301693064444,0.5937430751592544
0.01,0.01,bootstrap,0.3436021907047951,0.5412652431718586,0.995,0.49878163412114657,1539.402432281875,0.6842301693064444,0.5937430751592544
0.01,0.05,table,0.34162956356428253,0.5406655832984018,0.995,0.49836188247460617,1539.523974277186,0.6863683919663123,0.5929902414940286
0.01,0.05,function,0.3419743696863159,0.5407718165356972,0.995,0.4984408600279043,1539.4959551471097,0.6858993745806129,0.5931552114424158
0.01,0.05,bootstrap,0.34162956356428253,0.5406655832984018,0.995,0.49836188247460617,1539.523974277186,0.6863683919663122,0.5929902414940286
0.01,0.1,table,0.34268803664498326,0.5409924536465726,0.995,0.4985754141433181,1539.4098044502314,0.6848581007165575,0.5935217924730323
0.01,0.1,function,0.3436021907047951,0.5412652431718586,0.995,0.49878163412114657,1539.4024322818748,0.6842301693064444,0.5937430751592544
0.01,0.1,bootstrap,0.3436021907047951,0.5412652431718586,0.995,0.49878163412114657,1539.402432281875,0.6842301693064444,0.5937430751592544
0.1,0.005,table,0.025588060201893404,0.25411825612379946,1.0,0.3810660385780332,3368.627618575064,0.7859987730435872,0.559910798984404
0.1,0.005,function,0.026009301412430238,0.25696425494868175,1.0,0.3972790136207892,3559.5030687142666,0.7444766498635772,0.5732378246955628
0.1,0.005,bootstrap,0.024280204277238017,0.24871405637877492,1.0,0.372393010111686,3201.365846159091,0.794945567995734,0.5571199583041488
0.1,0.01,table,0.03029390613344722,0.26814945947418806,1.0,0.3813624433717438,3547.252805048126,0.8012728549422743,0.5551629767007438
0.1,0.01,function,0.03352338261554085,0.2699223076050426,1.0,0.39801646515043465,2998.8495702478012,0.7876966089906079,0.5593790327569245
0.1,0.01,bootstrap,0.026775558323548995,0.2530501304923585,1.0,0.3893058836568883,3030.263008207963,0.7760346736061005,0.56305207035715
0.1,0.05,table,0.17474944770445877,0.4233866080150175,1.0,0.4786156136941224,1589.3109541445067,0.6271440311585692,0.6145737444570127
0.1,0.05,function,0.1104429455317705,0.3636839023668697,1.0,0.46183930283889163,1934.806193858449,0.7359767202168319,0.5760445911251016
0.1,0.05,bootstrap,0.13215077424937524,0.3772811454646531,1.0,0.46584889528504936,1501.0326747438069,0.7465894788920173,0.572544385549814
0.1,0.1,table,0.29986211320846223,0.5249841419972493,0.999,0.49661480042774486,1621.8924609773653,0.6806104667131189,0.5950218803264781
0.1,0.1,function,0.29986211320846223,0.5249841419972493,0.999,0.49661480042774486,1621.8924609773653,0.6806104667131189,0.5950218803264781
0.1,0.1,bootstrap,0.2978099564067124,0.5201686574700728,0.998,0.4955180217237313,1622.07694312808,0.6820887557283413,0.594498950542596
