,acedec,aec,affinity,agglomerative,amddbscan,autoclustering,bang,birch,bsas,clique,cure,dbscan,dcn,ddc,dec,deepect,diana,dipInit,dipMeans,dipNSub,dipdeck,dipencoder,dkm,drc,gapStatistic,gmeans,hdbscan,idec,isbm,kmeans,ldakmeans,mbsas,mdbscan,mddbscan,meanshift,n2d,optics,pgmeans,projectedDipMeans,rock,skinnydip,somsc,specialK,spectral,subkmeans,syncsom,ttsas,vade,xmeans
cure,0.0054206227297251,0.040030049786931254,0.22141419633977866,0.9137202290091768,2.3486659490590256e-06,0.7529719674705855,2.4388647438033928e-05,0.7924510917232834,9.79725195726644e-06,7.503439778400178e-07,1.0,0.0007976588151414887,0.8486058463463084,0.2628891866705234,0.8044045263688429,0.18485156186389373,0.4359393944871941,0.02383276968565684,0.021386567522005517,0.0022554044876772483,0.38889735045406604,0.2855229942673292,0.9629639045979255,0.0017073773036957451,0.08299684268191188,0.40325517178868386,0.008767946254536918,0.6684839116062078,0.06037852377658903,0.06548925893710944,0.051146231266130826,0.001331313146265778,0.0018966557057380484,2.7336911692987798e-05,0.25419215458785094,0.06325686343591075,0.045301430604247406,0.3372327907074639,0.2855229942673292,0.010811271687297896,0.0742369537066232,0.083917092560575,0.4003584813045078,0.4575103218258705,0.10193845097478649,6.803587896420105e-05,2.534095963513394e-06,0.07764570803744286,0.32694555376313383
dbscan,0.5668527803072803,0.19354366517540655,4.730858662149728e-06,0.0005362704474503044,0.1715503008631507,0.00024414097041880467,0.3860635805028638,0.001998353964543398,0.2855229942673292,0.11087945737224625,0.0007976588151414887,1.0,0.001563088452638528,0.02548192335348598,0.0018966557057380484,0.042596827185995334,0.0100374217222845,0.27404644818292634,1.5612280357402142e-08,0.7647532424227965,2.4952966679148147e-05,0.022277002021686698,0.0009424322062250301,0.8284464068254644,3.6346098686301787e-07,2.7965888073744338e-05,0.4637817455817046,0.0001556761748080504,0.1400549047730819,2.0415995383160634e-07,1.1338131233884496e-07,0.885134852934917,0.8044045263688429,0.4003584813045069,6.995285061650591e-06,0.1345952470051719,0.17645173588565877,0.0166676264448411,9.79725195726644e-06,0.42089734641585386,0.11677482406886308,0.1041180298478892,0.011983673300684838,0.00903694811637945,6.065065734084385e-07,0.5290570899675522,0.17645173588565832,0.11203933907494013,0.017628930617224814
dcn,0.009597157179032534,0.06252685399512337,0.1574576794795446,0.7647532424227959,5.899829713218452e-06,0.6131230293263681,5.5898829913747505e-05,0.9424176678315628,2.329622651675578e-05,1.965291243299916e-06,0.8486058463463084,0.001563088452638528,1.0,0.35304931539285,0.9547416906518555,0.2563474083717905,0.5564175996007492,0.038553887743528525,0.012703062994333436,0.004190370823813794,0.29256272897137214,0.3804339922534412,0.8851348529349157,0.00321898033411383,0.05429771994706578,0.30455263648750086,0.015095722259934385,0.5358325366152674,0.09157994535540648,0.04207262002575485,0.03226207368888612,0.0025424300345591178,0.003556230806947225,6.236220023225769e-05,0.18314835281004838,0.09561701929916588,0.07014902679967427,0.44204193711605466,0.20806932078640394,0.01838146902463178,0.11087945737224647,0.12417108053851145,0.5156382177966414,0.5809105850420326,0.06778621310920152,0.00014934602510807693,6.3475458864648004e-06,0.1155764648996902,0.42988571335651704
ddc,0.09664823731222838,0.3503811392612881,0.019161978145850522,0.2194711061097021,0.0003166825719906896,0.15148340437590768,0.0019300145658165402,0.39174374574594073,0.0009599397342123783,0.00012904707930094794,0.2628891866705234,0.02548192335348598,0.35304931539285,1.0,0.3832424549892943,0.8364974132481824,0.733464975626366,0.25419215458785094,0.0006246523731676668,0.053018202073516374,0.04756804412046867,0.9588522504512664,0.2832020750285218,0.04366182337492108,0.004328890279721165,0.05053467154940372,0.13325638154829278,0.12166609474435464,0.4481930806356478,0.0030615246083942615,0.0021417400933401165,0.0366578418973742,0.046992635136377636,0.0021050350833895504,0.02383276968565684,0.46064006557695847,0.3776382098804447,0.8729273895621517,0.028699996346172263,0.15296053432158052,0.5056912377100884,0.5426514073462736,0.7805462405711401,0.7064443234513935,0.005867128745099315,0.004190370823813794,0.000336073967236894,0.5189762998947165,0.8892102215269189
dec,0.01130063525332603,0.07095149242730558,0.1414460876151753,0.7218419389851214,7.705968153803866e-06,0.5738612884933789,7.105263288598174e-05,0.9876506913599004,2.9936413247888538e-05,2.5989706311513316e-06,0.8044045263688429,0.0018966557057380484,0.9547416906518555,0.3832424549892943,1.0,0.28089397077141154,0.5951294615488258,0.04420270001377613,0.010811271687297896,0.005005025031787902,0.26731387539857754,0.4120202584174626,0.8405294040211775,0.003861490663333411,0.04756804412046867,0.2785986718379625,0.017628930617224814,0.49911647157331984,0.10302365695081228,0.0366578418973742,0.027956110474250728,0.0030615246083942615,0.004259119871526051,7.915764483823473e-05,0.16517453113170522,0.1074566301953257,0.07939729508769999,0.4764670479469886,0.18829308986842452,0.021386567522005517,0.12417108053851145,0.13867427295236623,0.5529601407769096,0.620387103663439,0.059676154356993916,0.0001874162697892423,8.283748820669956e-06,0.12930159289480891,0.46378174558170393
deepect,0.14568337426187794,0.4669353234156306,0.010811271687297896,0.15148340437590768,0.0006865842156060786,0.10086236377893387,0.0037985985118096366,0.28785673751535934,0.001963911399097462,0.00029245353128715124,0.18485156186389373,0.042596827185995334,0.2563474083717905,0.8364974132481824,0.28089397077141154,1.0,0.5844503676766619,0.3503811392612881,0.0002866736086721833,0.083917092560575,0.028699996346172263,0.796430303272956,0.20071060942859353,0.07014902679967427,0.002216916398501967,0.03063467803975506,0.19531753197725532,0.07939729508770021,0.5809105850420326,0.0015356136635507056,0.0010520843608334829,0.059676154356993694,0.0750774617959522,0.004122629988249749,0.013655880377289265,0.5951294615488258,0.4991164715733194,0.7141285808229474,0.0166676264448411,0.22141419633977844,0.6461005747770359,0.6873656019563854,0.6276883987640063,0.5598855663592714,0.0030615246083942615,0.007881892243785327,0.0007264346966200375,0.6609887457929877,0.7295836837873069
diana,0.045301430604247406,0.20253223239467033,0.04530143060424763,0.37485512470249427,8.088022816843399e-05,0.2740464481829259,0.0005788928950734018,0.6058967554764547,0.0002699694518271123,3.0622081165443404e-05,0.4359393944871941,0.0100374217222845,0.5564175996007492,0.733464975626366,0.5951294615488258,0.5844503676766619,1.0,0.13867427295236623,0.002068907806837217,0.022888381665568946,0.10086236377893387,0.7726379704313895,0.4637817455817046,0.01838146902463178,0.011983673300684838,0.10633446854698247,0.06548925893710944,0.22731735187429525,0.2717895010312408,0.008767946254536918,0.006346522635783947,0.015095722259934385,0.019971303697196907,0.0006366067414316223,0.05494707903254792,0.28089397077141154,0.22141419633977844,0.8566982134393217,0.06473801798959533,0.0767817901914154,0.3143762361503535,0.34245359251361274,0.950632334298005,0.9711900591118694,0.01575266024226929,0.0013554024896409445,8.626305399683787e-05,0.32440592892207665,0.8405294040211766
dipInit,0.6022979718810866,0.8364974132481824,0.0004965868765069992,0.017876720394710555,0.013853847365466354,0.0100374217222845,0.04992925066205167,0.04585937311702226,0.03063467803975528,0.0071871899742512735,0.02383276968565684,0.27404644818292634,0.038553887743528525,0.25419215458785094,0.04420270001377613,0.3503811392612881,0.13867427295236623,1.0,5.0933856530210875e-06,0.42687727388808705,0.0017997307906407745,0.23333185325664774,0.026871465304772135,0.3804339922534412,6.514059992968058e-05,0.001963911399097462,0.7179816667337771,0.0071871899742512735,0.70261332831145,4.1009389555535236e-05,2.552969313684983e-05,0.3424535925136125,0.3974743321684615,0.05301820207351615,0.000673758849897732,0.6873656019563854,0.796430303272956,0.19354366517540633,0.0008753187568195653,0.7726379704313895,0.6350263239877818,0.5951294615488258,0.15594763101417897,0.12930159289480891,9.806016809688067e-05,0.08484558542959975,0.014463034368847216,0.6203871036634396,0.20071060942859353
dipMeans,3.7347590975400635e-07,1.333537616532432e-05,0.28089397077141154,0.028325949501012415,2.1882495815361835e-12,0.04699263513637786,6.961986542819432e-11,0.01034083724047119,1.7839951738096715e-11,4.2010839251815923e-13,0.021386567522005517,1.5612280357402142e-08,0.012703062994333436,0.0006246523731676668,0.010811271687297896,0.0002866736086721833,0.002068907806837217,5.0933856530210875e-06,1.0,8.534343187704962e-08,0.15001716508372498,0.0007541841659528536,0.018898648730049317,5.388168333730903e-08,0.570351903963509,0.14284786479653055,8.563725033550185e-07,0.06108773182580651,2.926535333336311e-05,0.6461005747770359,0.7257093080321657,3.583600816092769e-08,6.407319208534545e-08,8.266098916465126e-11,0.24569738048365508,3.203844409971346e-05,1.685508061521901e-05,0.0011112312828069904,0.2175402872005585,1.235672812516242e-06,4.384206308505334e-05,5.5898829913747505e-05,0.0016775748497463994,0.002334223288176007,0.5056912377100884,3.2967029106600876e-10,2.4442670110147446e-12,4.790858598036074e-05,0.0010330252265575712
dipNSub,0.784508962275309,0.31686433653305546,1.8931198165317298e-05,0.001563088452638528,0.09561701929916588,0.0007541841659528536,0.24360515572059738,0.005250782203704452,0.1715503008631507,0.058291741800142516,0.0022554044876772483,0.7647532424227965,0.004190370823813794,0.053018202073516374,0.005005025031787902,0.083917092560575,0.022888381665568946,0.42687727388808705,8.534343187704962e-08,1.0,9.003777919591727e-05,0.04699263513637786,0.0026303672089176278,0.9342091217624053,1.6852101412112575e-06,0.00010016871400053695,0.6647321388663947,0.0004965868765069992,0.23945833280989204,9.76755150539077e-07,5.597469110441011e-07,0.8769933310190181,0.9588522504512658,0.2541921545878507,2.7336911692987798e-05,0.23131460780922453,0.2925627289713728,0.03619643785766358,3.750177422690015e-05,0.6131230293263692,0.20436587192571887,0.18485156186389373,0.026871465304772135,0.0208103085586111,2.733534599563825e-06,0.3530493153928491,0.09873735277420126,0.19710329044686015,0.03807222815052724
dipdeck,0.0002699694518271123,0.003556230806947225,0.7179816667337771,0.45128679288134865,2.371347229690457e-08,0.5844503676766621,3.7347590975400635e-07,0.2606959084002778,1.2693339401792514e-07,6.2668186195935505e-09,0.38889735045406604,2.4952966679148147e-05,0.29256272897137214,0.04756804412046867,0.26731387539857754,0.028699996346172263,0.10086236377893387,0.0017997307906407745,0.15001716508372498,9.003777919591727e-05,1.0,0.05365477644061012,0.3638500663495303,6.373707103057846e-05,0.3832424549892943,0.9794192798175556,0.0004965868765069992,0.6647321388663943,0.006150687700390511,0.32694555376313383,0.27631616794388214,4.685967955975201e-05,7.260804439201962e-05,4.276797402891219e-07,0.7805462405711405,0.006547951271497654,0.004190370823813794,0.06856643554896458,0.8364974132481824,0.0006487736362377206,0.008126485076646706,0.009597157179032534,0.0886429646522735,0.10858815044817272,0.43898457411031355,1.2682185071000163e-06,2.5918349688680564e-08,0.008636147289720508,0.06548925893710944
dipencoder,0.08672749572556637,0.3244059289220771,0.02197667305625073,0.2394583328098916,0.0002593449939829462,0.1667514999906623,0.0016194007141825395,0.42089734641585297,0.0007976588151414887,0.00010451485822704498,0.2855229942673292,0.022277002021686698,0.3804339922534412,0.9588522504512664,0.4120202584174626,0.796430303272956,0.7726379704313895,0.23333185325664774,0.0007541841659528536,0.04699263513637786,0.05365477644061012,1.0,0.3069892197685309,0.038553887743528525,0.0050857636291608,0.05693411594662168,0.12042850888279188,0.13459524700517167,0.4179259157928823,0.0036154667195109624,0.0025424300345591178,0.03226207368888612,0.04155388201881127,0.0017684481148814157,0.027228905672593617,0.42988571335651704,0.3503811392612881,0.9137202290091768,0.03268031097509527,0.13867427295236623,0.4732780149726512,0.5089956362524755,0.8204133823820061,0.7451494334889421,0.006860884398960598,0.003556230806947225,0.0002754333930532482,0.4861043947960322,0.9301074154477589
dkm,0.0062479144589215885,0.04474922102263679,0.20436587192571865,0.8769933310190188,2.9479887790895276e-06,0.7179816667337762,2.9936413247888538e-05,0.8284464068254644,1.213401802613312e-05,9.514444831992819e-07,0.9629639045979255,0.0009424322062250301,0.8851348529349157,0.2832020750285218,0.8405294040211775,0.20071060942859353,0.4637817455817046,0.026871465304772135,0.018898648730049317,0.0026303672089176278,0.3638500663495303,0.3069892197685309,1.0,0.001998353964543398,0.0750774617959522,0.3776382098804447,0.0100374217222845,0.6350263239877818,0.06701330835010011,0.05898057614069807,0.04585937311702226,0.001563088452638528,0.002216916398501967,3.351690597352963e-05,0.2353615410718306,0.07014902679967427,0.05053467154940372,0.36113069342515214,0.26509517082151457,0.012338724648983668,0.08208478689244125,0.09257614141825066,0.42687727388808705,0.4861043947960322,0.09257614141825066,8.263820256204646e-05,3.178533769743197e-06,0.08578237018737633,0.3503811392612881
drc,0.7218419389851214,0.2785986718379625,1.302482047593756e-05,0.0011734399179597066,0.1132087694356465,0.0005572021972077845,0.2785986718379623,0.004055884356039208,0.1989009724500681,0.07014902679967427,0.0017073773036957451,0.8284464068254644,0.00321898033411383,0.04366182337492108,0.003861490663333411,0.07014902679967427,0.01838146902463178,0.3804339922534412,5.388168333730903e-08,0.9342091217624053,6.373707103057846e-05,0.038553887743528525,0.001998353964543398,1.0,1.1133442545663286e-06,7.105263288598174e-05,0.6058967554764547,0.00036366056166636795,0.20806932078640417,6.397478118369548e-07,3.6346098686301787e-07,0.9424176678315614,0.9753043408807642,0.2902033131654078,1.8931198165317298e-05,0.20071060942859353,0.2563474083717905,0.029460864910109352,2.611908390859341e-05,0.5564175996007492,0.17645173588565877,0.15897878202458138,0.02167987277375749,0.0166676264448411,1.8200808407087266e-06,0.39747433216846106,0.11677482406886286,0.1699393467706276,0.031034772717757564
gapStatistic,6.3475458864648004e-06,0.00015248018044777822,0.6095051315377682,0.1041180298478892,1.0864731336823752e-10,0.1559476310141792,2.6176227851948397e-09,0.045859373117022484,7.500331467014121e-10,2.3664625814490137e-11,0.08299684268191188,3.6346098686301787e-07,0.05429771994706578,0.004328890279721165,0.04756804412046867,0.002216916398501967,0.011983673300684838,6.514059992968058e-05,0.570351903963509,1.6852101412112575e-06,0.3832424549892943,0.0050857636291608,0.0750774617959522,1.1133442545663286e-06,1.0,0.369327109508228,1.333537616532432e-05,0.19178165775668643,0.00030434234335929844,0.9137202290091773,0.8284464068254638,7.704832705179854e-07,1.3015879496425242e-06,3.063789666413186e-09,0.5529601407769096,0.00032948999364457165,0.0001874162697892423,0.007076905665194255,0.5056912377100886,1.8497404778328175e-05,0.0004336561662519056,0.0005362704474503044,0.0100374217222845,0.01326742882532339,0.9219096782122336,1.0867126976066288e-08,1.2032397300743014e-10,0.00046863999240809306,0.0066508061588510525
gmeans,0.0002983424772724508,0.003861490663333411,0.6987898721416574,0.4669353234156306,2.749746030872302e-08,0.6022979718810866,4.276797402891219e-07,0.2717895010312408,1.4608867693333139e-07,7.3083759044578755e-09,0.40325517178868386,2.7965888073744338e-05,0.30455263648750086,0.05053467154940372,0.2785986718379625,0.03063467803975506,0.10633446854698247,0.001963911399097462,0.14284786479653055,0.00010016871400053695,0.9794192798175556,0.05693411594662168,0.3776382098804447,7.105263288598174e-05,0.369327109508228,1.0,0.000546642995779445,0.6835731632547701,0.0066508061588510525,0.3143762361503537,0.2650951708215148,5.233101678880914e-05,8.088022816843399e-05,4.894349987516478e-07,0.7608199466691445,0.007076905665194255,0.004544463265016674,0.07257900615022339,0.8164038677579455,0.0007129184621625928,0.008767946254536918,0.01034083724047119,0.0935810199760212,0.11438779567787938,0.4238811418818693,1.4437089177476992e-06,3.00425027077722e-08,0.009313294982347342,0.06935402398615076
hdbscan,0.8729273895621517,0.5703519039635094,0.00012116927812577671,0.006346522635783947,0.03573999356024893,0.003328013463973045,0.1097290769833672,0.01838146902463178,0.0717614693623394,0.019971303697196907,0.008767946254536918,0.4637817455817046,0.015095722259934385,0.13325638154829278,0.017628930617224814,0.19531753197725532,0.06548925893710944,0.7179816667337771,8.563725033550185e-07,0.6647321388663947,0.0004965868765069992,0.12042850888279188,0.0100374217222845,0.6058967554764547,1.333537616532432e-05,0.000546642995779445,1.0,0.002294503900035716,0.4575103218258705,8.086702334875184e-06,4.848863501383249e-06,0.5564175996007481,0.6276883987640063,0.11557646489968998,0.00016910149580140477,0.4451114505392677,0.5358325366152681,0.09664823731222838,0.0002251668634263293,0.9424176678315628,0.40325517178868453,0.3720847528008999,0.0750774617959522,0.06037852377658903,2.076522172500539e-05,0.17317265897894196,0.03712424715660312,0.3917437457459414,0.1008623637789341
idec,0.001331313146265778,0.01307689144855706,0.4268772738880866,0.749057472911524,2.617743180000076e-07,0.9096288821166247,3.341733530559665e-06,0.489340116052696,1.235672812516242e-06,7.61214968836299e-08,0.6684839116062078,0.0001556761748080504,0.5358325366152674,0.12166609474435464,0.49911647157331984,0.07939729508770021,0.22731735187429525,0.0071871899742512735,0.06108773182580651,0.0004965868765069992,0.6647321388663943,0.13459524700517167,0.6350263239877818,0.00036366056166636795,0.19178165775668643,0.6835731632547701,0.002294503900035716,1.0,0.021096723860098976,0.1574576794795446,0.12800378316714145,0.0002754333930532482,0.00040903515567003446,3.7856410954884012e-06,0.4764670479469886,0.022277002021686698,0.015095722259934385,0.16517453113170522,0.5223255076619271,0.002911123359094825,0.026871465304772135,0.031034772717757564,0.20436587192571887,0.24152547990955453,0.2273173518742948,1.0276056258362587e-05,2.8425682185861945e-07,0.028325949501012193,0.15897878202458138
