,acedec,aec,affinity,agglomerative,amddbscan,autoclustering,bang,birch,bsas,clique,cure,dbscan,dcn,ddc,dec,deepect,diana,dipInit,dipMeans,dipNSub,dipdeck,dipencoder,dkm,drc,gapStatistic,gmeans,hdbscan,idec,isbm,kmeans,ldakmeans,mbsas,mdbscan,mddbscan,meanshift,n2d,optics,pgmeans,projectedDipMeans,rock,skinnydip,somsc,specialK,spectral,subkmeans,syncsom,ttsas,vade,xmeans
diana,0.12291360326829381,0.0390407162698061,0.01838146902463178,4.1009389555535236e-05,0.824427595895348,0.02548192335348598,0.489340116052696,5.220032164743316e-06,0.5668527803072803,0.8486058463463078,2.926535333336311e-05,0.03184843124488723,0.0001798772540608784,0.00014325879107013328,0.00031045505604354595,0.8324697133387422,1.0,0.14568337426187838,5.5898829913747505e-05,0.9178138636243471,0.0007541841659528536,0.0025424300345591178,0.0009424322062250301,0.040030049786931254,0.0015356136635507056,0.0025860568682223306,0.005867128745099315,0.0001403035378810813,0.12166609474435464,0.005595407496373328,0.003497879130252013,0.36385006634953054,0.0027210765654352986,0.012338724648983668,7.342408311350468e-06,0.0011948810297364165,0.0002699694518271123,0.06399390214182166,0.00018361038922343198,0.0017684481148814157,0.05238795052876144,0.6647321388663952,0.001963911399097462,1.5202525565083391e-06,0.01488216918572216,0.0021790310829050696,0.02795611047425095,1.7658059313196972e-05,0.26509517082151524
dipInit,0.9301074154477589,0.5426514073462736,0.3665822094105118,0.008126485076646706,0.2175402872005585,0.43593939448719365,0.4451114505392677,0.0019300145658165402,0.37763820988044494,0.0997953471434696,0.0064465291963227145,0.48934011605269556,0.021976673056250506,0.018898648730049095,0.03143934405295501,0.0956170192991661,0.14568337426187838,1.0,0.0100374217222845,0.17645173588565877,0.055602900256860543,0.11798292001808508,0.06399390214182143,0.5495132498037174,0.08672749572556615,0.11920079944009276,0.19354366517540633,0.018638489463896013,0.9260075648494714,0.18829308986842408,0.14284786479653033,0.5844503676766624,0.12291360326829359,0.2949349920441249,0.0024571893978893034,0.07423695370662298,0.02869999634617204,0.6911659230946596,0.022277002021686698,0.09459462972036836,0.6276883987640063,0.3069892197685309,0.10086236377893387,0.0007976588151412667,0.32694555376313383,0.1074566301953257,0.4575103218258705,0.004544463265016674,0.733464975626366
dipMeans,0.012888778136861623,0.0493299229364641,0.09459462972036836,0.9424176678315621,0.0001403035378810813,0.07257900615022339,0.000843449682761177,0.5987088507922678,0.000546642995779445,2.4388647438033928e-05,0.8810625207462659,0.059676154356993694,0.7765892109550241,0.8204133823820068,0.6722439826787594,2.2250469620122004e-05,5.5898829913747505e-05,0.0100374217222845,1.0,8.626305399683787e-05,0.5089956362524748,0.3119010174389465,0.47010075987412847,0.04814936498667577,0.38889735045406626,0.30943867925295865,0.20253223239467033,0.8244275958953473,0.01307689144855706,0.20806932078640417,0.2673138753985773,0.0017997307906407745,0.3021289262411395,0.126716124825488,0.6498096484686378,0.42988571335651704,0.6987898721416572,0.029460864910109352,0.7726379704313895,0.3665822094105118,0.0366578418973742,0.0003230268784453205,0.3503811392612881,0.4359393944871939,0.11087945737224625,0.3346416782334356,0.06701330835010011,0.7924510917232828,0.003556230806947225
dipNSub,0.15001716508372498,0.049929250662051894,0.02415498925123538,6.373707103057846e-05,0.9055399305146108,0.03310318288745684,0.5564175996007488,8.485379707101615e-06,0.6387088353685813,0.7686926155547773,4.583257318668821e-05,0.04104056976863113,0.0002699694518271123,0.00021620746366224353,0.0004596552749456251,0.7529719674705866,0.9178138636243471,0.17645173588565877,8.626305399683787e-05,1.0,0.001091182341393715,0.003556230806947225,0.0013554024896409445,0.051146231266130826,0.0021790310829050696,0.0036154667195109624,0.008003352024395616,0.0002118543345792645,0.14856177489186861,0.0076439144797355585,0.004847015464085613,0.42089734641585297,0.0037985985118096366,0.016434614394965408,1.185022921390555e-05,0.0017073773036957451,0.000401122649154928,0.08028506198593721,0.0002754333930532482,0.002499477307909448,0.0662476730203092,0.7412479424143814,0.0027674949381502056,2.534095963513394e-06,0.0196982737768836,0.0030615246083942615,0.03619643785766358,2.7965888073744338e-05,0.3119010174389465
dipdeck,0.06778621310920152,0.19178165775668643,0.3119010174389465,0.46378174558170393,0.001648251632690112,0.2563474083717905,0.0074123975308666434,0.2353615410718306,0.005167677719110753,0.0003708807011566506,0.41792591579288185,0.22141419633977888,0.7064443234513929,0.664732138866394,0.8123991531268748,0.0003427808807034971,0.0007541841659528536,0.055602900256860543,0.5089956362524748,0.001091182341393715,1.0,0.7257093080321659,0.950632334298005,0.18829308986842452,0.8405294040211775,0.7218419389851214,0.5392365719598851,0.6609887457929877,0.06856643554896458,0.5495132498037179,0.6535274208386532,0.013853847365466354,0.710282770248523,0.38606358050286493,0.26509517082151435,0.8973696424931423,0.7845089622753083,0.12930159289480891,0.710282770248523,0.8083993392160813,0.15296053432158074,0.003328013463973045,0.784508962275309,0.15001716508372498,0.3503811392612881,0.7608199466691445,0.24152547990955453,0.3557303066906843,0.02415498925123538
dipencoder,0.1400549047730817,0.33983676407566854,0.5089956362524748,0.2785986718379625,0.005167677719110753,0.4329064304331549,0.019971303697196907,0.12417108053851145,0.014463034368847216,0.001331313146265778,0.24569738048365553,0.3832424549892943,0.4669353234156306,0.4329064304331549,0.5564175996007492,0.001238853081600988,0.0025424300345591178,0.11798292001808508,0.3119010174389465,0.003556230806947225,0.7257093080321659,1.0,0.7726379704313899,0.3346416782334356,0.8810625207462659,0.9958834176841942,0.7924510917232828,0.42988571335651704,0.1414460876151753,0.8044045263688422,0.9219096782122331,0.0348418192008364,0.9835347664744434,0.6058967554764547,0.14284786479653033,0.8244275958953473,0.5324393574805164,0.24360515572059782,0.4701007598741289,0.9137202290091775,0.28089397077141154,0.009741960575795128,0.9383125754009132,0.07340415138515266,0.5598855663592708,0.9629639045979255,0.4120202584174626,0.20253223239467033,0.05693411594662168
dkm,0.07764570803744286,0.2137153571584176,0.34245359251361274,0.4268772738880866,0.0020333501167471013,0.2832020750285218,0.008901539588488161,0.21182119173171188,0.0062479144589215885,0.00046863999240809306,0.3832424549892943,0.24569738048365553,0.6609887457929877,0.620387103663439,0.7647532424227965,0.0004336561662519056,0.0009424322062250301,0.06399390214182143,0.47010075987412847,0.0013554024896409445,0.950632334298005,0.7726379704313899,1.0,0.20993918904895326,0.8892102215269189,0.7686926155547773,0.5809105850420326,0.6167503774093479,0.07851752672389778,0.5915598727841798,0.6987898721416572,0.016434614394965408,0.7568928234566843,0.4208973464158534,0.2394583328098916,0.9465242903920281,0.7373530923948668,0.14568337426187794,0.6647321388663947,0.8566982134393217,0.1715503008631507,0.004055884356039208,0.8324697133387422,0.13325638154829256,0.3832424549892943,0.8083993392160813,0.2673138753985773,0.32440592892207665,0.028325949501012193
drc,0.609505131537768,0.9917669449474065,0.7608199466691445,0.04053264004524393,0.06701330835010011,0.8566982134393217,0.17317265897894218,0.012338724648983668,0.13867427295236623,0.02481077415395827,0.033530729402667214,0.9260075648494723,0.09059238305630979,0.08028506198593721,0.12042850888279188,0.023514285141355673,0.040030049786931254,0.5495132498037174,0.04814936498667577,0.051146231266130826,0.18829308986842452,0.3346416782334356,0.20993918904895326,1.0,0.2650951708215148,0.3372327907074639,0.48288028057020904,0.07939729508770021,0.6131230293263685,0.4732780149726512,0.38606358050286493,0.2520495426425966,0.3450832694820378,0.6535274208386532,0.015095722259934385,0.2353615410718306,0.1120393390749399,0.8405294040211766,0.09157994535540648,0.2832020750285218,0.9096288821166241,0.10522161772346172,0.2973201088474351,0.005867128745099315,0.7026133283114506,0.3119010174389465,0.8851348529349163,0.025144410367296866,0.34772578772386975
gapStatistic,0.10411802984788898,0.2695453143517499,0.41792591579288185,0.3503811392612881,0.00321898033411383,0.3503811392612881,0.01326742882532339,0.16517453113170522,0.009454275901663145,0.0007829152978762188,0.3119010174389465,0.3069892197685309,0.5633639803941461,0.5256857887301312,0.6609887457929884,0.0007264346966200375,0.0015356136635507056,0.08672749572556615,0.38889735045406626,0.0021790310829050696,0.8405294040211775,0.8810625207462659,0.8892102215269189,0.2650951708215148,1.0,0.8769933310190188,0.6797886913817313,0.5223255076619273,0.10522161772346172,0.6911659230946596,0.8044045263688422,0.02383276968565684,0.8648056734006182,0.5056912377100884,0.18829308986842408,0.9424176678315621,0.6350263239877818,0.18829308986842408,0.5668527803072803,0.9670765439062066,0.2194711061097021,0.0062479144589215885,0.9424176678315621,0.10086236377893387,0.46378174558170393,0.9178138636243465,0.3320634317662612,0.26069590840027734,0.040030049786931254
gmeans,0.1414460876151753,0.34245359251361274,0.5123113129705565,0.2763161679438819,0.005250782203704452,0.4359393944871941,0.02024763117734585,0.12291360326829359,0.014671282471320435,0.0013554024896409445,0.24360515572059782,0.38606358050286493,0.46378174558170393,0.4298857133565164,0.5529601407769096,0.0012613951002689028,0.0025860568682223306,0.11920079944009276,0.30943867925295865,0.0036154667195109624,0.7218419389851214,0.9958834176841942,0.7686926155547773,0.3372327907074639,0.8769933310190188,1.0,0.796430303272956,0.4268772738880866,0.14284786479653055,0.8083993392160813,0.9260075648494723,0.035288467711130256,0.9876506913599004,0.6095051315377684,0.14144608761517485,0.8204133823820061,0.5290570899675529,0.24569738048365553,0.4669353234156306,0.9096288821166241,0.2832020750285218,0.009888708043018779,0.9342091217624053,0.07257900615022339,0.5633639803941461,0.9588522504512658,0.41496687754159645,0.2007106094285933,0.05760960410933569
hdbscan,0.22533729402485858,0.48934011605269556,0.6911659230946596,0.17810852810223476,0.01130063525332603,0.6022979718810866,0.0390407162698061,0.0717614693623394,0.02907828881388963,0.00321898033411383,0.15444859620059992,0.5426514073462736,0.3218791834841994,0.2949349920441249,0.39460274652280347,0.003010621134797109,0.005867128745099315,0.19354366517540633,0.20253223239467033,0.008003352024395616,0.5392365719598851,0.7924510917232828,0.5809105850420326,0.48288028057020904,0.6797886913817313,0.796430303272956,1.0,0.29256272897137214,0.22731735187429525,0.9876506913599004,0.8688648019273151,0.06473801798959533,0.8083993392160813,0.8004148145368961,0.08391709256057478,0.6276883987640063,0.37485512470249427,0.3665822094105118,0.3244059289220771,0.710282770248523,0.41496687754159645,0.02024763117734585,0.733464975626366,0.040030049786931254,0.7490574729115234,0.7568928234566843,0.5773808702960057,0.12417108053851145,0.10086236377893387
idec,0.023514285141355673,0.08118087629212556,0.1471171919791916,0.7686926155547773,0.000336073967236894,0.1155764648996902,0.001831521342084308,0.45439255197267703,0.001216683583339373,6.373707103057846e-05,0.710282770248523,0.09664823731222838,0.950632334298005,0.9958834176841949,0.8405294040211766,5.840409194957097e-05,0.0001403035378810813,0.018638489463896013,0.8244275958953473,0.0002118543345792645,0.6609887457929877,0.42988571335651704,0.6167503774093479,0.07939729508770021,0.5223255076619273,0.4268772738880866,0.29256272897137214,1.0,0.02383276968565684,0.29971808519393606,0.37485512470249427,0.0037366385771893107,0.41792591579288185,0.19178165775668643,0.4991164715733194,0.5703519039635094,0.8688648019273151,0.05053467154940372,0.9465242903920275,0.4958462002606572,0.061803826026890274,0.0007401886616256181,0.4764670479469886,0.31686433653305524,0.1699393467706276,0.4575103218258705,0.1074566301953257,0.6276883987640063,0.007076905665194255
isbm,0.9958834176841942,0.6058967554764552,0.4179259157928823,0.010652388102464494,0.1848515618638933,0.49258739968478427,0.39174374574594073,0.0026303672089176278,0.3294980557099727,0.08208478689244103,0.008506122054056542,0.5495132498037179,0.027956110474250728,0.02415498925123538,0.039532756101881006,0.07851752672389778,0.12166609474435464,0.9260075648494714,0.01307689144855706,0.14856177489186861,0.06856643554896458,0.1414460876151753,0.07851752672389778,0.6131230293263685,0.10522161772346172,0.14284786479653055,0.22731735187429525,0.02383276968565684,1.0,0.22141419633977888,0.1699393467706276,0.5223255076619273,0.14711719197919182,0.339836764075669,0.003328013463973045,0.09059238305630979,0.03619643785766358,0.7608199466691445,0.028325949501012415,0.1143877956778796,0.6949740416821917,0.26509517082151435,0.12166609474435464,0.0011112312828069904,0.37485512470249494,0.12930159289480891,0.5156382177966414,0.006054825559487664,0.664732138866394
kmeans,0.2194711061097021,0.47966781725362995,0.6797886913817313,0.18314835281004838,0.010811271687297896,0.5915598727841798,0.03759569529445206,0.0742369537066232,0.027956110474250728,0.0030615246083942615,0.15897878202458138,0.5324393574805164,0.3294980557099727,0.3021289262411395,0.40325517178868453,0.0028625083145545904,0.005595407496373328,0.18829308986842408,0.20806932078640417,0.0076439144797355585,0.5495132498037179,0.8044045263688422,0.5915598727841798,0.4732780149726512,0.6911659230946596,0.8083993392160813,0.9876506913599004,0.29971808519393606,0.22141419633977888,1.0,0.8810625207462659,0.06252685399512337,0.8204133823820068,0.788477278620308,0.08672749572556615,0.6387088353685813,0.3832424549892943,0.3584241029977502,0.33206343176626163,0.7218419389851214,0.40616438071332617,0.019428509245939862,0.7451494334889421,0.04155388201881127,0.7373530923948668,0.7686926155547773,0.5668527803072796,0.12800378316714145,0.09768833230699814
ldakmeans,0.1683397591196476,0.39174374574594073,0.5738612884933789,0.2374036936379209,0.00696814318837613,0.49258739968478427,0.025823349071068202,0.10193845097478671,0.018898648730049317,0.0018638271546282947,0.20806932078640417,0.43898457411031355,0.40908608440387284,0.3776382098804447,0.49258739968478427,0.0017376660205552508,0.003497879130252013,0.14284786479653033,0.2673138753985773,0.004847015464085613,0.6535274208386532,0.9219096782122331,0.6987898721416572,0.38606358050286493,0.8044045263688422,0.9260075648494723,0.8688648019273151,0.37485512470249427,0.1699393467706276,0.8810625207462659,1.0,0.04420270001377635,0.9383125754009132,0.6760122701282101,0.11798292001808508,0.7490574729115234,0.47010075987412847,0.2855229942673292,0.41202025841746304,0.8364974132481824,0.32694555376313383,0.012888778136861623,0.8607501089944483,0.05898057614069807,0.6276883987640063,0.8851348529349157,0.47010075987412847,0.1699393467706276,0.07095149242730558
mbsas,0.5256857887301318,0.24780217389139914,0.14711719197919182,0.001404791766874025,0.4925873996847838,0.18485156186389373,0.8284464068254638,0.0002646072367471497,0.7373530923948668,0.27178950103124055,0.0010714683945274306,0.2156217131862439,0.004544463265016674,0.0037985985118096366,0.00696814318837613,0.2628891866705234,0.36385006634953054,0.5844503676766624,0.0017997307906407745,0.42089734641585297,0.013853847365466354,0.0348418192008364,0.016434614394965408,0.2520495426425966,0.02383276968565684,0.035288467711130256,0.06473801798959533,0.0037366385771893107,0.5223255076619273,0.06252685399512337,0.04420270001377635,1.0,0.0366578418973742,0.11087945737224647,0.0003496128477864513,0.0196982737768836,0.0062479144589215885,0.3450832694820378,0.004618453424897195,0.026518083570819417,0.30212892624113996,0.6350263239877811,0.028699996346172263,9.599357582534829e-05,0.12671612482548822,0.031034772717757564,0.19710329044686015,0.0007129184621625928,0.836497413248183
mdbscan,0.14568337426187794,0.3503811392612881,0.5223255076619273,0.2695453143517499,0.0055073893429378185,0.4451114505392677,0.021096723860098976,0.11920079944009276,0.01531196964982251,0.001430103838669039,0.2374036936379209,0.39460274652280347,0.4543925519726766,0.42089734641585297,0.5426514073462736,0.001331313146265778,0.0027210765654352986,0.12291360326829359,0.3021289262411395,0.0037985985118096366,0.710282770248523,0.9835347664744434,0.7568928234566843,0.3450832694820378,0.8648056734006182,0.9876506913599004,0.8083993392160813,0.41792591579288185,0.14711719197919182,0.8204133823820068,0.9383125754009132,0.0366578418973742,1.0,0.6203871036634396,0.13730414860409246,0.8083993392160806,0.5189762998947165,0.2520495426425966,0.4575103218258705,0.8973696424931417,0.29020331316540804,0.01034083724047119,0.9219096782122331,0.07014902679967427,0.5738612884933789,0.9465242903920275,0.4238811418818689,0.19531753197725488,0.059676154356993694
